character,head_direction,eye_direction,mouth_phonems,emotion,eye_blinking,body,mode,background,hash,text,frame
character_1,M,M,M,happy,False,01,1,Plain,f30a06deebf9cedde99c118e953d37f8df6e2f1d0ae2fd39d85d68822ffddf04,,1
character_1,M,M,M,happy,False,01,1,Plain,f30a06deebf9cedde99c118e953d37f8df6e2f1d0ae2fd39d85d68822ffddf04,,2
character_1,M,M,AY1,happy,False,01,1,Plain,196f309336cdb0ebf5f5d08be217b5b8ded9c91ede9c45cb761db4a3d36787b9,I,3
character_1,M,M,AE2,happy,False,01,1,Plain,09485a54761689c2b76ac29e02afe9fad023a6bb4ceb895d3940f9c7cd4d0ff9,accidentally,4
character_1,M,M,K,happy,False,01,1,Plain,ce15cc6b2eb356b65246d57c7e5224978f681026bcb9519157263cc3aa65e903,accidentally,5
character_1,M,M,S,happy,False,01,1,Plain,369f9acd9f75faaac58f320f32588a3af778d1287f1b00e2ed66fe90cca712c4,accidentally,6
character_1,M,M,AH0,happy,False,01,1,Plain,22ca540e3156ae4dcf99f49c93fd06f5277fb07e2b4076ab2e1716b6a9107593,accidentally,7
character_1,M,M,D,happy,False,01,1,Plain,8d788169884886ce6efecf9ec7bc8efce002ea61716d0b05f2086b1025605032,accidentally,8
character_1,M,M,EH1,happy,False,01,1,Plain,652467bfbec2860fc15e6923a322ba027d137306864394c8fe130ba4aa9b1e54,accidentally,9
character_1,M,M,N,happy,False,01,1,Plain,880b91352c2b1d02fa6201fdc1bb763870a32337b37839e2bab5287e51552fba,accidentally,10
character_1,M,M,T,happy,False,01,1,Plain,d02fbb12a45a347fd0939922b93dc7464246e8616f31f29219fc868641e102b6,accidentally,11
character_1,M,M,AH0,happy,False,01,1,Plain,22ca540e3156ae4dcf99f49c93fd06f5277fb07e2b4076ab2e1716b6a9107593,accidentally,12
character_1,M,M,L,happy,False,01,1,Plain,b967f9d13b2c14bb7bfeac1681fd18f1db1c9f47e94e203289d783b5fddbd974,accidentally,13
