body_name,head_size,head_position
a1,"327,346","155,15"
a2,"327,346","155,15"
a3,"327,346","155,15"
a4,"327,346","155,15"
a5,"327,346","155,15"
a6,"327,346","140,15"
a7,"327,346","140,15"
a8,"327,346","155,15"
a9,"327,346","155,15"
a10,"327,346","215,15"
a11,"327,346","200,15"
a12,"327,346","200,15"
a13,"327,346","160,15"
a14,"327,346","190,15"
a15,"327,346","185,15"
a16,"327,346","185,15"
a17,"327,346","165,15"
a18,"327,346","135,15"
a19,"327,346","165,15"
a20,"327,346","165,15"
a21,"327,346","215,15"
a22,"327,346","135,15"
a23,"327,346","195,15"
a24,"327,346","155,15"
a25,"327,346","195,15"
aa1,"327,346","155,15"
aa2,"327,346","155,15"
aa3,"327,346","155,15"
aa4,"327,346","165,15"
aa5,"327,346","165,15"
aa6,"327,346","165,15"
aa7,"327,346","165,15"
aa8,"327,346","165,15"
